Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",54000,2,197,2020,3900000,синий,автомат,полный,Бензин,Новый Уренгой
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),13000,2,245,2021,3690000,чёрный,робот,полный,Бензин,Королёв
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",76000,"3,5",333,2018,3140000,синий,автомат,полный,Бензин,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",85000,2,184,2016,2800000,чёрный,автомат,задний,Бензин,Нижний Новгород
"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 d V (W213, S213, C238)",152000,"2,9",340,2019,3030000,чёрный,автомат,полный,Дизель,Минск
BMW 5 серии 523i VII (G30/G31),BMW,5 серии 523i VII (G30/G31),93000,2,184,2017,3090000,белый,автомат,задний,Бензин,Минск
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",125000,2,258,2019,2730000,чёрный,автомат,задний,Бензин,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",165000,2,184,2016,2020000,чёрный,автомат,задний,Бензин,Москва
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),196000,2,190,2018,2300000,синий,автомат,задний,Дизель,Москва
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),89000,2,190,2017,2780000,чёрный,автомат,полный,Дизель,Омск
BMW 5 серии M550d xDrive VII (G30/G31),BMW,5 серии M550d xDrive VII (G30/G31),89000,3,400,2017,2520000,серый,автомат,полный,Дизель,Хабаровск
"Mercedes-Benz E-Класс 300 de V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 de V (W213, S213, C238)",101000,2,194,2016,2630000,чёрный,автомат,задний,Гибрид,Москва
BMW 3 серии 320e VII (G2x),BMW,3 серии 320e VII (G2x),54000,2,204,2019,3140000,синий,автомат,задний,Гибрид,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",130000,2,197,2019,2350000,чёрный,автомат,задний,Бензин,Сочи
BMW 5 серии 540i xDrive VII (G30/G31),BMW,5 серии 540i xDrive VII (G30/G31),70000,3,340,2019,7070000,синий,автомат,полный,Бензин,Устюжна
Audi A4 V (B9),Audi,A4 V (B9),116000,3,231,2017,2480000,белый,автомат,полный,Дизель,Подольск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",99000,2,184,2016,3140000,чёрный,автомат,полный,Бензин,Иркутск
BMW 5 серии 530d VII (G30/G31),BMW,5 серии 530d VII (G30/G31),81000,3,265,2017,3990000,белый,автомат,задний,Дизель,Горки-10
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",150000,2,194,2019,3070000,чёрный,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",136000,"1,5",184,2017,2050000,чёрный,автомат,задний,Бензин,Москва
