Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Mercedes-Benz S-Класс 400d 4MATIC VII (W223),Mercedes-Benz,S-Класс 400d 4MATIC VII (W223),27000,"2,9",330,2021,16800000,чёрный,автомат,полный,Дизель,Москва
BMW 3 серии 320e VII (G2x),BMW,3 серии 320e VII (G2x),37000,2,204,2019,3750000,синий,автомат,задний,Гибрид,Санкт-Петербург
BMW 5 серии 540d xDrive VII (G30/G31),BMW,5 серии 540d xDrive VII (G30/G31),105000,3,320,2018,3260000,чёрный,автомат,полный,Дизель,Ставрополь
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),184000,2,150,2018,2380000,чёрный,робот,передний,Дизель,Сургут
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),135000,2,190,2017,2720000,серый,автомат,задний,Дизель,Могилёв
Audi A4 V (B9),Audi,A4 V (B9),139000,2,190,2016,1630000,красный,робот,передний,Бензин,Москва
BMW 3 серии 320e VII (G2x),BMW,3 серии 320e VII (G2x),102000,2,204,2019,2800000,синий,автомат,задний,Гибрид,Химки
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),57000,3,249,2020,5200000,белый,автомат,полный,Дизель,Санкт-Петербург
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),91000,2,265,2018,4580000,серый,робот,полный,Бензин,Санкт-Петербург
BMW 3 серии 318i VII (G2x),BMW,3 серии 318i VII (G2x),94000,2,156,2019,2550000,белый,автомат,задний,Бензин,Москва
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",38000,3,333,2017,5050000,белый,автомат,полный,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),65000,2,190,2015,1990000,белый,механика,полный,Дизель,Белгород
Audi A4 g-tron V (B9),Audi,A4 g-tron V (B9),74000,2,170,2019,2980000,чёрный,робот,передний,Газ,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),55000,3,249,2019,4490000,чёрный,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),94000,2,249,2017,2550000,чёрный,автомат,полный,Бензин,Москва и Московская область
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),96000,3,387,2019,2580000,белый,автомат,полный,Бензин,Северо-Западный административный округ
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),84000,2,190,2020,3690000,чёрный,автомат,задний,Дизель,Краснодар
Mercedes-Benz S-Класс 580 Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 580 Long 4MATIC VII (W223),42000,4,503,2021,14500000,чёрный,автомат,полный,Бензин,Москва
BMW 5 серии 530e xDrive VII (G30/G31),BMW,5 серии 530e xDrive VII (G30/G31),86000,2,252,2017,3960000,чёрный,автомат,полный,Гибрид,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),99000,2,190,2019,2760000,чёрный,механика,передний,Бензин,Москва
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),132000,2,184,2019,4030000,чёрный,автомат,задний,Бензин,Санкт-Петербург
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),174000,2,190,2017,2540000,чёрный,автомат,задний,Дизель,Санкт-Петербург
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),67000,"4,4",462,2017,3600000,серый,автомат,полный,Бензин,Москва
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),29000,3,340,2018,4150000,чёрный,робот,полный,Бензин,Санкт-Петербург
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),91000,"4,4",530,2020,3420000,чёрный,автомат,полный,Бензин,Москва и Московская область
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",63000,2,197,2019,3730000,белый,автомат,полный,Бензин,Люберцы
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",37000,2,197,2019,4540000,синий,автомат,полный,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),113000,2,249,2019,3110000,белый,робот,полный,Бензин,Санкт-Петербург
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),79000,2,245,2019,3590000,чёрный,робот,полный,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),99000,2,190,2019,2760000,чёрный,механика,передний,Бензин,Москва
BMW 3 серии 330d xDrive VII (G2x),BMW,3 серии 330d xDrive VII (G2x),27000,3,265,2021,6500000,чёрный,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),70000,2,190,2017,3000000,чёрный,автомат,полный,Дизель,Санкт-Петербург
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),71000,2,190,2021,3730000,чёрный,автомат,полный,Дизель,Москва
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),30000,2,190,2021,4900000,чёрный,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",165000,2,184,2016,2480000,белый,автомат,задний,Бензин,Красноярск
Audi A6 50 TFSI e V (C8),Audi,A6 50 TFSI e V (C8),62000,2,299,2021,4120000,чёрный,робот,полный,Гибрид,Москва
Audi A6 35 TDI V (C8),Audi,A6 35 TDI V (C8),17000,2,163,2021,4440000,чёрный,робот,передний,Дизель,Набережные Челны
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",104000,2,184,2016,2120000,чёрный,автомат,полный,Бензин,Набережные Челны
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",104000,3,258,2020,3300000,чёрный,автомат,полный,Дизель,Москва
Mercedes-Benz S-Класс 500 Long VII (W223),Mercedes-Benz,S-Класс 500 Long VII (W223),19000,3,435,2021,14900000,чёрный,автомат,полный,Бензин,Тюмень
Mercedes-Benz S-Класс 350 d Long VII (W223),Mercedes-Benz,S-Класс 350 d Long VII (W223),20000,"2,9",286,2021,13130000,чёрный,автомат,задний,Дизель,Москва
"Mercedes-Benz E-Класс 300 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 d V (W213, S213, C238)",109000,2,245,2016,2440000,белый,автомат,задний,Дизель,Москва
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),56000,3,249,2019,4700000,серый,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),56000,2,190,2017,4170000,серый,механика,задний,Дизель,Балашиха
Audi A4 V (B9),Audi,A4 V (B9),78000,3,272,2017,2160000,серый,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",137000,3,333,2017,3200000,голубой,автомат,полный,Бензин,Краснодар
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",121000,"3,5",333,2016,2580000,чёрный,автомат,полный,Бензин,Санкт-Петербург
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",18000,2,194,2019,4050000,чёрный,автомат,полный,Дизель,Химки
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),90000,2,190,2019,2500000,белый,автомат,задний,Дизель,Москва
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),93000,2,190,2019,2580000,белый,механика,задний,Дизель,Москва
BMW 3 серии 330d xDrive VII (G2x),BMW,3 серии 330d xDrive VII (G2x),95000,3,265,2019,2550000,белый,автомат,полный,Дизель,Москва и Московская область
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",94000,3,258,2019,2980000,синий,автомат,задний,Дизель,Химки
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),81000,2,190,2019,2990000,чёрный,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",72000,2,184,2017,3710000,чёрный,автомат,полный,Бензин,Москва
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),84000,2,190,2017,2320000,чёрный,робот,передний,Дизель,Москва
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),83000,2,190,2018,4330000,синий,механика,задний,Дизель,Москва
BMW 3 серии 320i xDrive VII (G2x),BMW,3 серии 320i xDrive VII (G2x),55000,2,184,2020,4240000,белый,автомат,полный,Бензин,Москва
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",104000,2,194,2019,3320000,чёрный,автомат,полный,Дизель,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),114000,2,190,2015,1970000,чёрный,робот,передний,Бензин,Санкт-Петербург
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),68000,2,190,2017,1900000,чёрный,робот,передний,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 350 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 V (W213, S213, C238)",151000,2,299,2017,2920000,чёрный,автомат,задний,Бензин,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),71000,2,190,2019,3340000,чёрный,автомат,полный,Дизель,Санкт-Петербург
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),78000,2,204,2019,3990000,чёрный,робот,передний,Дизель,Москва
BMW 5 серии 523i VII (G30/G31),BMW,5 серии 523i VII (G30/G31),42000,2,184,2019,3790000,белый,автомат,задний,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),69000,2,150,2017,2280000,синий,механика,передний,Дизель,Коломна
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),70000,2,190,2019,3590000,белый,автомат,задний,Дизель,Воронеж
Audi A6 55 TFSI e V (C8),Audi,A6 55 TFSI e V (C8),154000,2,367,2019,3320000,чёрный,робот,полный,Гибрид,Москва
BMW 5 серии 540i xDrive VII (G30/G31),BMW,5 серии 540i xDrive VII (G30/G31),160000,3,340,2018,3930000,синий,автомат,полный,Бензин,Минеральные Воды
Audi A6 40 TFSI V (C8),Audi,A6 40 TFSI V (C8),65000,2,190,2019,3510000,белый,робот,передний,Бензин,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",95000,2,184,2016,2880000,серый,автомат,полный,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),126000,2,122,2017,1900000,серый,робот,передний,Дизель,Москва
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",66000,"3,5",333,2019,3510000,серый,автомат,полный,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),61000,"1,4",150,2018,2180000,белый,робот,передний,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),57000,2,190,2017,2580000,коричневый,робот,полный,Дизель,Санкт-Петербург
Audi A6 40 TFSI V (C8),Audi,A6 40 TFSI V (C8),65000,2,190,2019,3510000,белый,робот,передний,Бензин,Санкт-Петербург
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),71000,2,190,2018,2800000,серый,автомат,задний,Дизель,Челябинск
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",86000,2,245,2019,3300000,серый,автомат,полный,Бензин,Москва
BMW 3 серии M340i VII (G2x),BMW,3 серии M340i VII (G2x),88000,3,387,2019,2600000,белый,автомат,задний,Бензин,Санкт-Петербург
BMW 5 серии 540d xDrive VII (G30/G31),BMW,5 серии 540d xDrive VII (G30/G31),196000,3,320,2019,2560000,чёрный,автомат,полный,Дизель,Йошкар-Ола
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),182000,2,190,2018,2470000,серый,автомат,полный,Дизель,Санкт-Петербург
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),69000,2,190,2021,3360000,чёрный,автомат,полный,Дизель,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),150000,2,249,2019,1850000,чёрный,робот,полный,Бензин,Москва
BMW 3 серии 330d xDrive VII (G2x),BMW,3 серии 330d xDrive VII (G2x),58000,3,286,2019,3080000,синий,автомат,полный,Дизель,Москва
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),158000,2,249,2018,3470000,серый,автомат,задний,Бензин,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",139000,2,197,2019,2730000,чёрный,автомат,задний,Бензин,Москва
Mercedes-Benz S-Класс 580 e VII (W223),Mercedes-Benz,S-Класс 580 e VII (W223),7000,3,510,2020,15630000,чёрный,автомат,задний,Гибрид,Химки
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",26000,2,245,2020,4300000,чёрный,автомат,задний,Бензин,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",120000,"1,5",184,2017,2680000,чёрный,автомат,задний,Бензин,Санкт-Петербург
BMW 3 серии 330d VII (G2x),BMW,3 серии 330d VII (G2x),95000,3,265,2019,2630000,белый,автомат,задний,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",42000,2,184,2020,4050000,белый,автомат,задний,Бензин,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",36000,2,184,2020,4850000,бежевый,автомат,задний,Бензин,Санкт-Петербург
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),33000,3,249,2020,3700000,чёрный,автомат,полный,Дизель,Челябинск
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),86000,2,190,2018,2780000,белый,механика,задний,Дизель,Йошкар-Ола
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),75000,2,245,2019,3140000,синий,робот,передний,Бензин,Сургут
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",67000,2,184,2020,3500000,чёрный,механика,задний,Бензин,Москва
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),91000,2,252,2018,3640000,чёрный,автомат,задний,Бензин,Москва и Московская область
Audi A6 40 TFSI V (C8),Audi,A6 40 TFSI V (C8),54000,2,190,2020,3740000,чёрный,робот,передний,Бензин,Ставрополь
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),64000,3,340,2019,3350000,коричневый,робот,полный,Бензин,Санкт-Петербург
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),30000,2,252,2019,3840000,серый,автомат,полный,Бензин,Москва
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),105000,2,184,2022,3840000,синий,автомат,задний,Бензин,Минеральные Воды
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),144000,2,252,2018,2630000,серый,автомат,задний,Бензин,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",94000,2,184,2016,2720000,чёрный,автомат,полный,Бензин,Москва
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),79000,2,252,2018,3690000,чёрный,автомат,задний,Бензин,Ярославль
BMW 3 серии M340i VII (G2x),BMW,3 серии M340i VII (G2x),50000,3,387,2019,3900000,синий,автомат,задний,Бензин,Краснодар
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),29000,3,367,2021,14450000,чёрный,автомат,полный,Бензин,Москва
Audi A4 V (B9),Audi,A4 V (B9),34000,2,190,2018,2730000,белый,робот,передний,Бензин,Санкт-Петербург
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),70000,3,265,2019,3140000,чёрный,автомат,полный,Дизель,Москва
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),62000,2,252,2018,3030000,синий,автомат,задний,Бензин,Нижний Новгород
Audi A6 50 TDI V (C8),Audi,A6 50 TDI V (C8),187000,3,286,2018,2630000,чёрный,автомат,полный,Дизель,Москва
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),83000,2,190,2018,2970000,серый,автомат,задний,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",80000,2,184,2018,2680000,чёрный,автомат,задний,Бензин,Санкт-Петербург
Audi A6 50 TFSI e V (C8),Audi,A6 50 TFSI e V (C8),43000,2,299,2021,3980000,чёрный,робот,полный,Гибрид,Москва
BMW 3 серии 330e VII (G2x),BMW,3 серии 330e VII (G2x),94000,2,292,2019,2520000,белый,автомат,задний,Гибрид,Москва
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),21000,3,381,2021,14130000,серый,автомат,полный,Бензин,Москва
"Mercedes-Benz E-Класс All-Terrain 400 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс All-Terrain 400 d V (W213, S213, C238)",118000,"2,9",340,2018,2920000,синий,автомат,полный,Дизель,Москва
Audi A4 V (B9),Audi,A4 V (B9),178000,2,122,2018,1780000,чёрный,механика,передний,Дизель,Москва
"Mercedes-Benz E-Класс 200 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 d V (W213, S213, C238)",145000,2,150,2018,2950000,чёрный,автомат,задний,Дизель,Симферополь
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),47000,2,190,2020,3100000,белый,механика,задний,Дизель,Москва и Московская область
BMW 5 серии 540i xDrive VII (G30/G31),BMW,5 серии 540i xDrive VII (G30/G31),95000,3,340,2017,2630000,серебристый,автомат,полный,Бензин,Санкт-Петербург
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),43000,2,190,2020,3730000,белый,механика,задний,Дизель,Москва
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),75000,2,245,2019,3950000,синий,робот,полный,Бензин,Калининград
BMW 5 серии 540i xDrive VII (G30/G31),BMW,5 серии 540i xDrive VII (G30/G31),26000,3,340,2020,3410000,серый,автомат,полный,Бензин,Москва и Московская область
Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 350 d Long 4MATIC VII (W223),1000,"2,9",286,2021,14890000,чёрный,автомат,полный,Дизель,Москва
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),95000,3,387,2019,2520000,белый,автомат,полный,Бензин,Москва
BMW 3 серии 330d VII (G2x),BMW,3 серии 330d VII (G2x),97000,3,286,2019,2600000,белый,автомат,задний,Дизель,Москва
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),22000,2,190,2021,4840000,белый,автомат,полный,Дизель,Москва
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),108000,2,190,2019,2680000,белый,механика,задний,Дизель,Москва
BMW 5 серии 525d VII (G30/G31),BMW,5 серии 525d VII (G30/G31),48000,2,231,2019,5510000,чёрный,автомат,задний,Дизель,Тюмень
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),15000,3,340,2019,4400000,чёрный,робот,полный,Бензин,Москва
BMW 3 серии 320d VII (G2x),BMW,3 серии 320d VII (G2x),71000,2,190,2020,3270000,белый,механика,задний,Дизель,Уфа
Audi A4 V (B9),Audi,A4 V (B9),85000,2,249,2017,2190000,серый,робот,передний,Бензин,Барнаул
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),53000,2,190,2019,3330000,белый,автомат,полный,Дизель,Москва
Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 350 d Long 4MATIC VII (W223),1000,"2,9",249,2022,18370000,чёрный,автомат,полный,Дизель,Смоленск
Mercedes-Benz S-Класс 500 4MATIC VII (W223),Mercedes-Benz,S-Класс 500 4MATIC VII (W223),21000,3,435,2020,12300000,серебристый,автомат,полный,Бензин,Сочи
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),199000,2,190,2017,2230000,чёрный,механика,задний,Дизель,Тула
BMW 5 серии 540i VII (G30/G31),BMW,5 серии 540i VII (G30/G31),41000,3,340,2020,3260000,синий,автомат,задний,Бензин,Москва
"Mercedes-Benz E-Класс 300 e V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 e V (W213, S213, C238)",117000,2,320,2017,3240000,чёрный,автомат,задний,Гибрид,Москва
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),73000,2,150,2019,2800000,синий,механика,передний,Дизель,Москва
BMW 5 серии M550d xDrive VII (G30/G31),BMW,5 серии M550d xDrive VII (G30/G31),181000,3,400,2019,2850000,чёрный,автомат,полный,Дизель,Москва и Московская область
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),24000,2,184,2019,3100000,чёрный,автомат,задний,Бензин,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",62000,2,197,2019,3370000,чёрный,автомат,задний,Бензин,Рязань
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),2000,3,381,2021,14990000,золотистый,автомат,полный,Бензин,Москва
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),72000,2,150,2019,2690000,чёрный,механика,передний,Дизель,Минеральные Воды
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",55000,2,194,2017,3790000,красный,автомат,полный,Дизель,Тюмень
BMW 5 серии 540i VII (G30/G31),BMW,5 серии 540i VII (G30/G31),47000,3,340,2019,4210000,чёрный,автомат,задний,Бензин,Ростов-на-Дону
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),89000,2,190,2018,3340000,чёрный,автомат,полный,Дизель,Новороссийск
Mercedes-Benz S-Класс 580 e 4MATIC VII (W223),Mercedes-Benz,S-Класс 580 e 4MATIC VII (W223),1000,3,510,2022,16720000,чёрный,автомат,полный,Гибрид,Москва
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),8000,2,190,2021,5250000,чёрный,автомат,полный,Дизель,Москва
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),113000,2,190,2018,3010000,чёрный,автомат,полный,Дизель,Симферополь
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",139000,2,184,2018,2790000,чёрный,автомат,полный,Бензин,Казань
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),17000,2,190,2021,5360000,синий,автомат,полный,Дизель,Санкт-Петербург
Mercedes-Benz S-Класс 500 Long VII (W223),Mercedes-Benz,S-Класс 500 Long VII (W223),29000,3,449,2021,16000000,чёрный,автомат,полный,Бензин,Новохвалынский
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),32000,3,340,2018,5560000,синий,робот,полный,Бензин,Москва
BMW 3 серии 320i xDrive VII (G2x),BMW,3 серии 320i xDrive VII (G2x),10000,2,184,2021,4950000,оранжевый,автомат,полный,Бензин,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),28000,3,231,2020,4750000,синий,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",85000,2,197,2019,3200000,чёрный,автомат,полный,Бензин,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),34000,3,249,2020,7200000,зелёный,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),49000,"4,4",530,2020,5660000,чёрный,автомат,полный,Бензин,Санкт-Петербург
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),39000,3,249,2020,6770000,чёрный,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",49000,2,197,2020,3650000,серебристый,автомат,задний,Бензин,Москва
BMW 3 серии 330i VII (G2x),BMW,3 серии 330i VII (G2x),74000,2,258,2019,3700000,чёрный,автомат,задний,Бензин,Санкт-Петербург
BMW 3 серии 330d xDrive VII (G2x),BMW,3 серии 330d xDrive VII (G2x),20000,3,265,2020,5660000,синий,автомат,полный,Дизель,Москва
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),24000,2,184,2021,6570000,чёрный,автомат,задний,Бензин,Волгоград
BMW 3 серии 330d xDrive VII (G2x),BMW,3 серии 330d xDrive VII (G2x),19000,3,265,2021,6010000,синий,автомат,полный,Дизель,Санкт-Петербург
Mercedes-Benz S-Класс 350 d VII (W223),Mercedes-Benz,S-Класс 350 d VII (W223),16000,"2,9",286,2021,16160000,серый,автомат,задний,Дизель,Хабаровск
Mercedes-Benz S-Класс 400 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 400 d Long 4MATIC VII (W223),22000,"2,9",330,2021,15500000,чёрный,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",40000,2,197,2019,4640000,белый,автомат,полный,Бензин,Самара
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",32000,2,197,2020,4730000,белый,автомат,полный,Бензин,Смоленск
Mercedes-Benz S-Класс 400 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 400 d Long 4MATIC VII (W223),22000,"2,9",330,2021,15500000,чёрный,автомат,полный,Дизель,Москва
Audi A4 V (B9),Audi,A4 V (B9),65000,2,190,2019,3600000,серый,робот,полный,Дизель,Москва
Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 350 d Long 4MATIC VII (W223),40000,"2,9",249,2021,13740000,чёрный,автомат,полный,Дизель,Калининград
